,y_predicted,y_test
2016-01-04,3.0,3.0
2016-01-07,3.0,2.0
2016-01-11,3.0,2.0
2016-01-14,3.0,2.0
2016-01-18,3.0,4.0
2016-01-21,3.0,4.0
2016-01-25,3.0,3.0
2016-01-28,3.0,3.0
2016-02-01,3.0,4.0
2016-02-04,3.0,2.0
2016-02-08,3.0,2.0
2016-02-11,3.0,2.0
2016-02-15,3.0,2.0
2016-02-18,3.0,2.0
2016-02-22,3.0,2.0
2016-02-25,3.0,2.0
2016-02-29,3.0,0.0
2016-03-03,3.0,0.0
2016-03-07,3.0,0.0
2016-03-10,3.0,0.0
2016-03-14,3.0,2.0
2016-03-17,3.0,2.0
2016-03-21,3.0,2.0
2016-03-24,3.0,0.0
2016-03-28,3.0,2.0
2016-03-31,3.0,2.0
2016-04-04,3.0,2.0
2016-04-07,3.0,0.0
2016-04-11,3.0,1.0
2016-04-14,3.0,1.0
2016-04-18,3.0,4.0
2016-04-21,3.0,1.0
2016-04-25,3.0,4.0
2016-04-28,3.0,1.0
2016-05-02,3.0,1.0
2016-05-05,3.0,0.0
2016-05-09,3.0,0.0
2016-05-12,3.0,0.0
2016-05-16,3.0,4.0
2016-05-19,3.0,4.0
2016-05-23,3.0,4.0
2016-05-26,3.0,1.0
2016-05-30,3.0,1.0
2016-06-02,3.0,1.0
2016-06-06,3.0,2.0
2016-06-09,3.0,2.0
2016-06-13,3.0,1.0
2016-06-16,3.0,1.0
2016-06-20,3.0,4.0
2016-06-23,3.0,0.0
2016-06-27,3.0,4.0
2016-06-30,3.0,3.0
2016-07-04,3.0,1.0
2016-07-07,3.0,1.0
2016-07-11,3.0,2.0
2016-07-14,3.0,1.0
2016-07-18,3.0,1.0
2016-07-21,3.0,3.0
2016-07-25,3.0,1.0
2016-07-28,3.0,2.0
2016-08-01,3.0,4.0
2016-08-04,3.0,3.0
2016-08-08,3.0,4.0
2016-08-11,3.0,1.0
2016-08-15,3.0,2.0
2016-08-18,3.0,2.0
2016-08-22,3.0,2.0
2016-08-25,3.0,2.0
2016-08-29,3.0,3.0
2016-09-01,3.0,3.0
2016-09-05,3.0,1.0
2016-09-08,3.0,4.0
2016-09-12,3.0,0.0
2016-09-15,3.0,0.0
2016-09-19,3.0,0.0
2016-09-22,3.0,0.0
2016-09-26,3.0,0.0
2016-09-29,3.0,0.0
2016-10-03,3.0,4.0
2016-10-06,3.0,0.0
2016-10-10,3.0,0.0
2016-10-13,3.0,0.0
2016-10-17,3.0,4.0
2016-10-20,3.0,1.0
2016-10-24,3.0,1.0
2016-10-27,3.0,1.0
2016-10-31,3.0,3.0
2016-11-03,3.0,3.0
2016-11-07,3.0,3.0
2016-11-10,3.0,3.0
2016-11-14,3.0,0.0
2016-11-17,3.0,1.0
2016-11-21,3.0,1.0
2016-11-24,3.0,1.0
2016-11-28,3.0,0.0
2016-12-01,3.0,0.0
2016-12-05,3.0,3.0
2016-12-08,3.0,3.0
2016-12-12,3.0,3.0
2016-12-15,3.0,2.0
2016-12-19,3.0,1.0
2016-12-22,3.0,1.0
2016-12-26,3.0,1.0
2016-12-29,3.0,0.0
2017-01-02,3.0,0.0
2017-01-05,3.0,0.0
2017-01-09,3.0,1.0
2017-01-12,3.0,1.0
2017-01-16,3.0,1.0
2017-01-19,3.0,1.0
2017-01-23,3.0,1.0
2017-01-26,3.0,1.0
2017-01-30,3.0,1.0
2017-02-02,3.0,1.0
2017-02-06,3.0,1.0
2017-02-09,3.0,1.0
2017-02-13,3.0,0.0
2017-02-16,3.0,4.0
2017-02-20,3.0,3.0
2017-02-23,3.0,4.0
2017-02-27,3.0,2.0
2017-03-02,3.0,4.0
2017-03-06,3.0,0.0
2017-03-09,3.0,4.0
2017-03-13,3.0,3.0
2017-03-16,3.0,2.0
2017-03-20,3.0,2.0
2017-03-23,3.0,4.0
2017-03-27,3.0,3.0
2017-03-30,3.0,3.0
2017-04-03,3.0,0.0
2017-04-06,3.0,2.0
2017-04-10,3.0,2.0
2017-04-13,3.0,3.0
2017-04-17,3.0,3.0
2017-04-20,3.0,3.0
2017-04-24,3.0,2.0
2017-04-27,3.0,2.0
2017-05-01,3.0,3.0
2017-05-04,3.0,3.0
2017-05-08,3.0,4.0
2017-05-11,3.0,3.0
2017-05-15,3.0,3.0
2017-05-18,3.0,3.0
2017-05-22,3.0,4.0
2017-05-25,3.0,4.0
2017-05-29,3.0,4.0
2017-06-01,3.0,4.0
2017-06-05,3.0,1.0
2017-06-08,3.0,1.0
2017-06-12,3.0,2.0
2017-06-15,3.0,2.0
2017-06-19,3.0,4.0
2017-06-22,3.0,4.0
2017-06-26,3.0,3.0
2017-06-29,3.0,3.0
2017-07-03,3.0,3.0
2017-07-06,3.0,4.0
2017-07-10,3.0,3.0
2017-07-13,3.0,3.0
2017-07-17,3.0,3.0
2017-07-20,3.0,3.0
2017-07-24,3.0,3.0
2017-07-27,3.0,0.0
2017-07-31,3.0,4.0
2017-08-03,3.0,3.0
2017-08-07,3.0,1.0
2017-08-10,3.0,2.0
2017-08-14,3.0,1.0
2017-08-17,3.0,0.0
2017-08-21,3.0,2.0
2017-08-24,3.0,2.0
2017-08-28,3.0,2.0
2017-08-31,3.0,2.0
2017-09-04,3.0,3.0
2017-09-07,3.0,2.0
2017-09-11,3.0,0.0
2017-09-14,3.0,0.0
2017-09-18,3.0,1.0
2017-09-21,3.0,1.0
2017-09-25,3.0,1.0
2017-09-28,3.0,1.0
2017-10-02,3.0,1.0
2017-10-05,3.0,1.0
2017-10-09,3.0,2.0
2017-10-12,3.0,0.0
2017-10-16,3.0,0.0
2017-10-19,3.0,0.0
2017-10-23,3.0,2.0
2017-10-26,3.0,2.0
2017-10-30,3.0,0.0
2017-11-02,3.0,0.0
2017-11-06,3.0,2.0
2017-11-09,3.0,2.0
2017-11-13,3.0,2.0
2017-11-16,3.0,4.0
2017-11-20,3.0,0.0
2017-11-23,3.0,2.0
2017-11-27,3.0,2.0
2017-11-30,3.0,2.0
2017-12-04,3.0,4.0
2017-12-07,3.0,4.0
2017-12-11,3.0,1.0
2017-12-14,3.0,1.0
2017-12-18,3.0,1.0
2017-12-21,3.0,1.0
2017-12-25,3.0,2.0
2017-12-28,3.0,2.0
2018-01-01,3.0,2.0
2018-01-04,3.0,2.0
2018-01-08,3.0,2.0
2018-01-11,3.0,1.0
2018-01-15,3.0,1.0
2018-01-18,3.0,4.0
2018-01-22,3.0,3.0
2018-01-25,3.0,3.0
2018-01-29,3.0,0.0
2018-02-01,3.0,4.0
2018-02-05,3.0,4.0
2018-02-08,3.0,4.0
2018-02-12,3.0,1.0
2018-02-15,3.0,1.0
2018-02-19,3.0,2.0
2018-02-22,3.0,2.0
2018-02-26,3.0,3.0
2018-03-01,3.0,3.0
2018-03-05,3.0,2.0
2018-03-08,3.0,2.0
2018-03-12,3.0,2.0
2018-03-15,3.0,0.0
2018-03-19,3.0,2.0
2018-03-22,3.0,2.0
2018-03-26,3.0,2.0
2018-03-29,3.0,2.0
2018-04-02,3.0,2.0
2018-04-05,3.0,2.0
2018-04-09,3.0,0.0
2018-04-12,3.0,0.0
2018-04-16,3.0,0.0
2018-04-19,3.0,0.0
2018-04-23,3.0,1.0
